"Title","News Body","Post date"
"No new Scratchpads sites applications possible (Temporarily) ","We are sorry to announce that for reasons related to our current technical and support capacity we will not be able to temporarily accept applications for creating new Scratchpads sites. This does not affect the operation of the current Scratchpads sites, or registration of new users to existing sites.
We will update you once this issue has been resolved.
For more information on this issue, please email your query to scratchpads@nhm.ac.uk
","Monday, October 31, 2016 - 17:16"
"Problem with automatic login to our issue tracker","Users report problems with the automatic authentication in the Scratchpads Issues tracker (support.scratchpads.eu).
If you experience similar difficulties, please do use the e-mail address scratchpads@nhm.ac.uk and until we fully address the underlying cause.
We apologise for the inconvenience.
","Tuesday, February 23, 2016 - 14:53"
"Overrun of scheduled maintenance ","Unfortunately, our (NHM) servers scheduled maintenance overran the expected duration. Scratchpads remained inaccessible from 19.00 Nov 09 to 10.00 Nov 10 (GMT).
All services are now back up and running. No additional downtime is expected.
We apologise for this overrun and the inconvinience that might have caused you
","Tuesday, November 10, 2015 - 10:31"
"Scratchpads downtime on Mon 09 Nov 2015","Due to planned technical maintenance of the Natural History Museum London servers, all NHM-based Scratchpads servers will remain inaccessible between 18.30 and 22.00 (GMT) on Monday 09 November 2015. During that time all NHM-hosted Scratchpads sites will not be accessible.
Thank you for your understanding.
","Thursday, November 5, 2015 - 12:04"
"New Scratchpads Ambassador in Borneo","Liew Thor-Seng is our new ambassador from Borneo, Malaysia. Liew is a biologist with interests in ecology, evolution, systematics and conservation science. Currently, his research is focused on the land snails of Southeast Asia. He is currently affiliated with the Institute for Tropical Biology and Conservation, Universiti Malaysia Sabah.
Liew is currently involved in three Scratchpads communities:http://borneanlandsnails.myspecies.infohttp://malaypeninsularsnail.myspecies.infohttp://opisthostoma.myspecies.info
Find out more about Liew athttp://scratchpads.eu/ambassador/liew-thor-seng
","Thursday, February 19, 2015 - 17:20"
"Changelog - Scratchpads 2.6.0 (2015-02-11)","Release Changelog
Scratchpads 2.6.0 (2015-02-11)
- Updated the EXIF Custom module enabling it for all Scratchpads (#4176)
- Created a simple Entity filter (#4219)
- Greatly improved the translation functionality of Scratchapds (#2317)
- Upgraded Drupal to 7.34
- Enable any block to be embedded on the front page (#1174)
- Hide simplenews settings
- Updated GBIF maps to their new API (v1)
- Ensure the dblog module is always disabled
- Removed called to feeds_alter() which required a patched version of feeds
- Ensure ""0"" values are correctly exported (#4004)
- Present images in rows, rather than a single column (#4297)
- Ensure tinytax options take immediate effect (#4305)
- Ensure media views aren't cached to ensure newly uploaded files are visible in the media library tab
- Improved and cleaned up the tag/autotag modules, and enabled tag with tips
- Added a reference field to the lexicon term output (#3001)
- Allow the citethispage list of authors to be tweaked. (#3920)
- Added the format option to the WYSIWYG editor (#1000)
- Hide all media with a weight of 100 from ALL media gallery pages. (#4013)
- Don't display empty stripy divs (#4296)
- Allow a user to specify a list of terms that should always be displayed in a tinytax tree. Fixes (#4305)
- Reset to alphabetical button added to TUI (#4274)
- Added the ability for a user to clear their site's cache. (#4300)
- Don't automatically enable the CKEditor SCAYT (Spell Check As You Type) feature. (#4302)
- Front page views should use the summary if available. (#4284)
- Prevent population of Media (URL) field in Excel templates (#4265)
- Upgraded the mediaelement library and module (#4263)
- Ensure a Slickgrid row can be updated multiple times without waiting for caches to clear (#4254)
- Removed calls to eval() to improve overall security
- Display only 50 results on a Biblio page
- Tweaked the ShareThis widget settings to improve performance
- Merged code from various development branches (yet to be fully released)
","Thursday, February 19, 2015 - 17:01"
"Bryan Kenneth Simon","It is with great sadness that we have to announce the passing of Bryan Kenneth Simon following a short battle with leukaemia.
Bryan was a well known grass taxonomist, having worked at the Queensland Herbarium for nearly four decades and for nine years as a botanist in Bulawayo, Zimbabwe (then Rhodesia).
Bryan was a Scratchpads ambassador, and vocal supporter of the Scratchpads since their early days. He was very encouraging of what we, the Scratchpads Team, are working towards, making our task that little bit easier. His Scratchpads are amongst the most viewed and used of all the Scratchpads, being an invaluable resource for grass taxonomists. His two Scratchpads (AusGrass2 and GrassWorld) are currently being partially maintained by former colleagues, although if you would like to provide help and expertise, please do get in touch, and we can forward on your offer of help.
Bryan is survived by a wonderful family, including his wife, five children, and several grandchildren.
","Tuesday, January 20, 2015 - 16:15"
"CORDIS article on ViBRANT and Scratchpads","The European Commission's Community Research and Development Information Research (CORDIS) has published an article on ViBRANT project and Scratchpads. You can read it at http://cordis.europa.eu/result/rcn/150383_en.html
The article is in six languages
","Wednesday, November 12, 2014 - 10:39"
"Changelog - Scratchpads 2.5.4 (2014-11-10)","Release Changelog
Scratchpads 2.5.4 (2014-11-10)
- Added the improved DwC-A Export module. (#4126)
Note, the improved DwC-A module has not been enabled on all sites.  We will be rolling this out first to sites that are able to help us with testing (e.g. former LifeDesk sites).
","Monday, November 10, 2014 - 11:11"
"Changelog - Scratchpads 2.5.3.4 (2014-10-24)","Release Changelog
Scratchpads 2.5.3.4 (2014-10-24)
- Possibly improve ""cold start"" times of sites
","Monday, November 10, 2014 - 11:09"
